RASSF1,RASSF2,RASSF3,RASSF4,RASSF5,RASSF6,RASSF7,RASSF8,RASSF9,RASSF10,Sample,Patient_ID
564.671,770.033,1136.1,1894.32,1392.88,4.1131,248.549,539.993,1.7628,0,TCGA-D3-A2JO-06,TCGA-D3-A2JO
660.294,819.853,153.677,586.029,353.676,1.4706,384.559,350.368,1.4706,0,TCGA-D3-A2JP-06,TCGA-D3-A2JP
499.43,1065.23,521,816.547,860.313,3.3185,218.189,507.311,18.6664,13.2739,TCGA-D3-A3BZ-06,TCGA-D3-A3BZ
852.016,894.355,1631.85,277.738,238.71,0.4032,329.839,672.177,0.8065,1.2097,TCGA-D3-A3C1-06,TCGA-D3-A3C1
375.428,144.828,552.245,524.496,558.221,1.0546,559.979,239.388,1.0546,6.679,TCGA-D3-A3C3-06,TCGA-D3-A3C3
375.468,147.628,703.183,227.84,191.948,0,36.5169,397.628,3.1211,9.3633,TCGA-D3-A3C6-06,TCGA-D3-A3C6
1103.46,480.152,103.04,1132.18,525.76,0.8446,386.402,1999.16,0,0,TCGA-D3-A3C7-06,TCGA-D3-A3C7
1104.73,1243.25,282.359,3393.15,2199.3,4.3589,415.547,980.748,7.7491,0.9686,TCGA-D3-A3C8-06,TCGA-D3-A3C8
630.034,2392.91,775.083,1324.49,1875.92,94.8089,223.652,548.19,6.0775,0,TCGA-D3-A3CB-06,TCGA-D3-A3CB
384.337,1047.47,496.346,682.514,109.239,2.7694,192.63,1144.4,17.5398,2.4617,TCGA-D3-A3CC-06,TCGA-D3-A3CC
426.861,641.227,1383.46,635.241,930.415,8.6046,186.308,974.56,45.6416,2.9929,TCGA-D3-A3CE-06,TCGA-D3-A3CE
748.25,1352.51,753.425,1152.82,1041.7,10.9589,192.085,997.26,9.1324,0,TCGA-D3-A3CF-06,TCGA-D3-A3CF
540.719,3712.98,2358.33,176.651,15.0116,0,124.296,830.744,0.6005,0,TCGA-D3-A3ML-06,TCGA-D3-A3ML
333.105,294.38,200.822,388.766,251.885,0,115.833,998.972,17.4777,2.3989,TCGA-D3-A3MO-06,TCGA-D3-A3MO
813.049,1727.44,138.362,2363.26,832.948,13.8825,607.589,629.801,5.0902,0.9255,TCGA-D3-A3MR-06,TCGA-D3-A3MR
