"Variable","HR","CI_Lower","CI_Upper","P_Value"
"RASSF Signature",0.939166304028665,0.899866401716911,0.98018255258778,0.00400534486919957
"Age",1.0223481111931,1.01241162302547,1.03238212273449,9.19247969270368e-06
"Sex (Male vs Female)",1.12422086560171,0.82798593910477,1.52644205047827,0.453046719347912
"Stage II vs I",1.40212910657503,0.929200234660352,2.11576144535037,0.107365475810741
"Stage III vs I",1.91683339924605,1.30299562659129,2.81984851328875,0.000953808221763371
"Stage IV vs I",3.66560127800301,1.85779293216369,7.23257823661125,0.000179482119317177
